dropoff_date,duration_in_minutes,weather_indicator
2009-05-24,10.733333333333333,1
2010-01-10,14,1
2011-03-06,17,1
2011-03-13,14,1
2011-05-08,16,1
2012-03-18,25.016666666666666,1
2012-09-16,10,1
2012-10-21,19.133333333333333,1
2015-04-05,10.216666666666667,1
2015-06-21,11.6,1
2009-08-02,14,1
2010-04-25,18.233333333333334,1
2010-06-06,16.4,0
2010-09-12,6,0
2010-12-26,20.633333333333333,1
2010-12-05,17,1
2011-04-24,10,1
2011-04-24,9.433333333333334,1
2011-09-11,10.566666666666666,0
2012-02-12,8.583333333333334,0
2012-04-15,10,1
2012-05-13,13.2,1
2012-06-24,10.083333333333334,0
2013-02-03,9,0
2013-07-21,15,1
2010-07-18,15,1
2010-11-07,21,1
2010-12-05,22.75,1
2011-03-06,25,1
2011-04-10,23.416666666666668,1
2013-11-10,19,1
2014-09-21,18,0
2015-08-16,14.5,1
2011-02-27,14.666666666666666,1
2011-03-06,15.683333333333334,1
2011-12-04,19.683333333333334,1
2012-03-04,14,1
2013-09-29,17.583333333333332,1
2015-05-10,20.3,1
2015-12-27,23.1,0
2009-07-19,16,1
2009-08-16,23.633333333333333,1
2009-12-27,10,0
2012-10-21,14.366666666666667,1
2013-01-13,20,1
2013-09-22,12,1
2013-12-08,15.766666666666667,0
2014-06-08,18.45,1
2014-06-08,14.95,1
2015-10-11,12.933333333333334,1
2014-09-07,13.133333333333333,1
2014-12-14,11.266666666666667,1
2009-11-29,8.85,1
2013-06-09,7.566666666666666,1
2009-02-22,15,0
2009-09-27,16,1
2009-11-22,17,1
2009-12-13,12,1
2009-12-27,10.983333333333333,0
2010-04-18,16.916666666666668,1
2010-04-18,17.166666666666668,1
2011-07-10,19.583333333333332,1
2012-07-15,14.466666666666667,0
2013-03-17,15,1
2013-05-12,15,1
2014-06-08,14,1
2014-09-14,11.6,1
2014-12-14,12.55,1
2015-04-12,13.4,1
2015-06-21,18.883333333333333,1
2015-07-05,14.016666666666667,1
2009-04-05,16.033333333333335,1
2010-06-13,10.116666666666667,0
2011-04-03,13.45,1
2011-07-17,13.733333333333333,1
2011-08-07,12.483333333333333,0
2013-03-31,8,0
2013-09-08,9.233333333333333,1
2014-01-12,22,0
2015-03-01,11.083333333333334,1
2015-12-06,8.383333333333333,1
2009-07-26,19,1
2012-02-05,18.433333333333334,1
2012-06-24,20.966666666666665,0
2013-06-30,24,1
2013-12-29,15,1
2014-04-13,20,1
2010-04-25,18,1
2012-12-09,17.216666666666665,0
2014-12-14,15.45,1
2009-04-05,15,1
2009-10-18,12,0
2010-06-27,10,1
2010-06-06,20.6,0
2010-12-26,10,1
2011-04-03,13.866666666666667,1
2011-05-22,,1
2011-07-31,13,1
2011-07-24,16,0
2011-07-24,10,0
2011-11-13,16.466666666666665,1
2011-11-13,22.733333333333334,1
2012-04-01,14,1
2012-04-01,10.75,1
2012-08-26,14,1
2012-10-14,22.866666666666667,1
2012-10-28,16.716666666666665,1
2012-10-28,14.583333333333334,1
2012-11-04,9.6,1
2013-01-27,12.433333333333334,1
2013-07-14,15,1
2013-12-01,9.483333333333333,1
2013-12-22,45,1
2013-12-15,13,1
2014-03-23,11,1
2014-10-12,13.45,1
2014-11-30,10.816666666666666,1
2015-03-15,21.433333333333334,1
2015-06-28,24.083333333333332,0
2015-11-29,10.75,1
2009-01-11,14,0
2009-04-26,13,1
2009-11-01,8,0
2010-04-18,13.25,1
2010-06-20,14,1
2010-10-17,9.916666666666666,1
2011-12-18,5.683333333333334,1
2012-09-30,9.716666666666667,1
2012-10-14,7.4,1
2012-12-16,11,1
2013-10-20,8,1
2009-03-15,20.233333333333334,1
2009-03-29,19.6,1
2009-08-30,16.983333333333334,1
2009-09-13,15,1
2009-11-01,18.116666666666667,0
2009-11-01,17,0
2010-04-25,25.916666666666668,1
2010-05-09,22.416666666666668,1
2010-05-23,34.61666666666667,1
2010-07-04,14.85,1
2010-07-25,18,1
2010-07-18,26,1
2010-09-12,11.05,0
2010-09-19,14.9,1
2010-09-19,10,1
2010-09-19,14.9,1
2010-10-10,21,1
2011-05-29,16.483333333333334,1
2011-08-21,17.516666666666666,1
2011-09-18,22,1
2011-11-13,18,1
2011-11-13,19.85,1
2012-02-26,16,1
2012-04-15,11,1
2012-08-12,16,1
2012-09-30,24,1
