airport_code,hour,trips_count,mean,median
EWR,0,115,30.710144927536234,30.1666666666667
EWR,1,109,29.37003058103976,28.3666666666667
EWR,2,238,28.915826330532212,28
EWR,3,905,29.136850828729283,28.0833333333333
EWR,4,3209,28.315663965087275,27.9333333333333
EWR,5,5319,28.303619370217024,27.85
EWR,6,4774,30.211655841888327,29.7333333333333
EWR,7,3774,36.16208786351982,35
EWR,8,3665,41.65127469725943,40
EWR,9,3801,41.09413750767349,39.7666666666667
EWR,10,4170,38.12266474728085,36.80833333333335
EWR,11,5212,38.34004798464488,37
EWR,12,6502,38.696239868677566,37
EWR,13,7879,40.684359658032804,38.9166666666667
EWR,14,9604,47.77360040286181,45
EWR,15,7274,54.28631132508011,52
EWR,16,3661,57.804721538601825,55
EWR,17,2859,56.988986115972466,55
EWR,18,2170,48.734317343173366,47
EWR,19,1118,41.9626529394211,40
EWR,20,578,36.034690930098186,35.26666666666665
EWR,21,251,30.15093333333334,30.95
EWR,22,198,30.50244107744108,30.89166666666665
EWR,23,181,33.06298342541436,32.4
JFK,0,430,27.231058823529423,27.49166666666665
JFK,1,361,27.348568790397046,26
JFK,2,644,25.758579574909284,26
JFK,3,2585,25.921895551257233,25
JFK,4,10734,25.56877233877231,25
JFK,5,20985,26.72558936207406,26
JFK,6,25015,32.79828540191742,31.2166666666667
JFK,7,19941,41.77998678775075,40.45
JFK,8,19075,44.62361737852876,44
JFK,9,18410,43.2897923687355,42
JFK,10,17360,38.841160932126726,37.4166666666667
JFK,11,23392,37.86922819174727,36.1666666666667
JFK,12,31971,40.88656921969386,39
JFK,13,39528,47.000831920081744,45.7333333333333
JFK,14,48065,56.924718722887626,55
JFK,15,39021,64.07949237450418,63
JFK,16,24010,64.1394038539016,63.3333333333333
JFK,17,19635,57.70762827047211,57
JFK,18,16203,48.024433876811536,46.75
JFK,19,9783,39.316504622522366,38
JFK,20,6060,34.28071393158162,33.075
JFK,21,3362,31.656279185295617,30.8666666666667
JFK,22,1859,30.557960868784765,30
JFK,23,880,29.60647619047619,29.0333333333333
LGA,0,641,17.215115667718194,17.5333333333333
LGA,1,504,17.624999999999993,18.075
LGA,2,677,18.720285573609072,19
LGA,3,4727,19.32111205193334,19
LGA,4,29845,19.21009830205554,18.9333333333333
LGA,5,44194,19.584473666342383,19
LGA,6,57000,22.54480965417189,22
LGA,7,54306,26.989682071874654,26
LGA,8,53285,29.387415917353582,28.0833333333333
LGA,9,54948,30.742805264307503,29.7
LGA,10,56229,27.787474576773523,26.8333333333333
LGA,11,71714,26.967211110181186,25.8166666666667
LGA,12,84672,28.20907005501542,27
LGA,13,85691,29.309592127381364,28
LGA,14,86221,32.3485436292483,30.9166666666667
LGA,15,77759,35.598404102511296,34
LGA,16,54561,36.34818610734233,35
LGA,17,38879,34.3851819452666,33
LGA,18,21779,28.39262823457346,27
LGA,19,9690,23.27140472256639,22.15
LGA,20,3315,20.8345762882447,20.5333333333333
LGA,21,1615,18.953046261875258,19
LGA,22,1279,18.340252801667976,18.6666666666667
LGA,23,819,18.7750101999184,18.0833333333333
